Suomi,English
on,there is
ei ,No 
ja ,and 
se ,it 
hän ,he 
mitä ,what 
en ,I don't 
että ,that 
ole ,don't be 
olen ,I am 
niin ,so 
mutta ,but 
vain ,only 
sen ,its 
minä ,I 
oli ,was 
jos ,if 
tämä ,this 
sinä ,you 
nyt ,now 
voi ,Oh 
olet ,are 
kun ,when 
sitä ,the 
kuin ,than 
he ,they 
täällä ,here 
minun ,my 
kaikki ,all 
hänen ,his 
et ,you don't 
ovat ,are 
hyvä ,good 
olla ,be 
minua ,me 
sinun ,your 
sinua ,you 
älä ,do not 
kyllä ,Yes 
sitten ,then 
onko ,is 
miksi ,why 
hänet ,him 
mitään ,any 
hei ,Hello 
mikä ,What 
siitä ,thence 
kiitos ,thanks 
miten ,how 
ne ,they 
olisi ,would be 
joka ,which 
minulle ,me 
tässä ,here 
kanssa ,with 
tai ,or 
missä ,where 
pitää ,keep 
tiedä ,don't know 
minulla ,i have 
tuo ,that 
jotain ,something 
minut ,me 
ollut ,been 
sinulle ,to you 
me ,we 
sinut ,thee 
häntä ,him 
oletko ,are you 
tämän ,this 
kuka ,Who 
meidän ,our 
olemme ,are 
vielä ,yet 
hyvin ,very 
tänne ,here 
anteeksi ,Sorry 
jo ,already 
tiedän ,i know 
koska ,because 
tehdä ,make 
ehkä ,perhaps 
täytyy ,must 
anna ,give 
tule ,come on 
haluan ,i want 
pois ,off 
emme ,we don't 
kuinka ,how 
siellä ,there 
herra ,Mr. 
takaisin ,back 
tätä ,this 
sinulla ,you have 
paljon ,much 
selvä ,clear 
eivät ,they don't 
saa ,weather 
tulee ,will come 
siinä ,there 
juuri ,just 
ennen ,before 
yksi ,one 
pitäisi ,should 
enää ,any more 
te ,you 
koskaan ,ever 
eikö ,isn't it 
aina ,always 
mennä ,go 
mistä ,whence 
meillä ,at our house 
kaksi ,two 
vai ,or 
koko ,size 
joten ,so 
aivan ,right 
mene ,go 
näin ,thus 
no ,Well 
joku ,someone 
halua ,desire 
tästä ,from here 
hänelle ,him 
oikein ,properly 
mies ,man 
tietää ,know 
olin ,i was 
todella ,really 
kunnossa ,okay 
aika ,time 
olette ,are 
teet ,you do 
kuten ,as 
voin ,I can 
totta ,true 
siihen ,thereto 
entä ,how about 
edes ,at least 
ulos ,out 
vähän ,little 
hyvää ,good 
aikaa ,time 
katso ,Look 
voit ,you can 
isä ,father 
kai ,probably 
kukaan ,anyone 
pahoillani ,I'm sorry 
haluat ,you want 
siis ,therefore 
kiinni ,Closed 
pidä ,keep 
heidän ,their 
itse ,self 
minusta ,about me 
ihan ,quite 
tulla ,become 
noin ,about 
päästä ,get 
teidän ,your 
vaan ,but 
äiti ,mother 
kaiken ,all 
sillä ,for 
myös ,also 
kerro ,tell me 
eikä ,and not 
tee ,tea 
sanoi ,quoth 
mennään ,let's go 
mukaan ,by 
ettei ,lest 
tänään ,today 
sinusta ,about you 
odota ,Wait 
meitä ,us 
hänellä ,he has 
liian ,too 
niitä ,them 
nämä ,these 
ota ,please take 
etkö ,Don't you 
näyttää ,show 
auttaa ,help 
taas ,again 
jälkeen ,after 
puhua ,talk 
haluatko ,do you want 
meidät ,us 
täältä ,from here 
tiedät ,you know 
sinne ,there 
kotiin ,home 
kolme ,three 
vuotta ,years 
jotka ,that 
muuta ,change 
luoja ,Creator 
nähdä ,see 
vaikka ,although 
antaa ,give 
heti ,immediately 
tapahtui ,happened 
menee ,goes 
tähän ,over here 
ette ,you don't 
olevan ,to be 
ilman ,free 
tuli ,fire 
teitä ,you 
sanoa ,say 
tiedätkö ,You know 
heidät ,them 
saat ,you get 
tuolla ,there 
poika ,son 
saada ,get 
tarvitse ,need 
sisään ,in 
kertoa ,tell 
nähnyt ,seen 
varmasti ,certainly 
usko ,faith 
tuon ,that 
haluaa ,wants to 
teen ,i do 
sanoin ,I said 
heitä ,them 
vastaan ,against 
tekee ,does 
varma ,sure 
jonka ,whom 
ikinä ,ever 
kuollut ,dead 
enemmän ,more 
tehnyt ,done 
pian ,soon 
rakastan ,i love 
teille ,to you 
hienoa ,great 
sir ,sir 
minne ,where 
meille ,us 
voimme ,we can 
hänestä ,about him 
tappaa ,kill 
asia ,thing 
tarvitsen ,i need 
joo ,Yeah 
mihin ,where 
luulin ,i thought 
kulta ,gold 
tapahtuu ,is happening 
sano ,say 
varmaan ,will 
ottaa ,take 
teidät ,you guys 
sain ,i got 
olit ,you were 
voisi ,could 
tuota ,that 
takia ,because of 
kerran ,once 
käy ,ok 
oikeassa ,right 
tulen ,i will 
ajan ,for 
pidän ,I like 
ihmiset ,people 
lopeta ,stop it 
kauan ,long 
tällä ,bridge 
toinen ,second 
ylös ,up 
alas ,down 
valmis ,ready 
tyttö ,girl 
okei ,okay 
lähteä ,go 
yhdessä ,together 
älkää ,start 
hauskaa ,fun 
yhtä ,equally 
teillä ,you have 
juttu ,thing 
tohtori ,doctor 
hieman ,slightly 
olivat ,were 
luulen ,I think 
rouva ,Mrs. 
pitänyt ,kept 
menen ,i go 
päivä ,day 
rahaa ,money 
piti ,had to 
kuuntele ,listen 
apua ,Help 
joskus ,sometimes 
olisin ,I would be 
enkä ,and i don't 
lisää ,more 
siksi ,therefore 
niinkö ,Really 
yhä ,still 
ainoa ,only 
teki ,did 
voinut ,could 
myöhemmin ,later 
silloin ,then 
sanoit ,you said 
päivää ,days 
kertaa ,times 
yksin ,alone 
nainen ,woman 
nähdään ,See you 
paska ,shit 
jonkun ,someone 
ensin ,initially 
huomenna ,tomorrow 
yhden ,one 
tavata ,meet 
odottaa ,expect 
tuntuu ,feel 
jota ,whom 
www ,www 
uusi ,new 
jotta ,so 
parempi ,better 
vie ,takes 
ohi ,past 
pari ,couple 
milloin ,When 
saan ,i can 
meni ,went 
hetki ,moment 
ketään ,nobody 
paras ,best 
etten ,I don't 
pieni ,small 
paikka ,place 
mikään ,any 
ihmisiä ,people 
minäkin ,me too 
teit ,you did 
nopeasti ,quickly 
kaveri ,guy 
tosi ,true 
saanut ,received 
ymmärrä ,understand 
Jack ,Jack 
pyydän ,Please 
jotakin ,something 
tarpeeksi ,enough 
ajattelin ,I thought 
viime ,last 
irti ,loose 
alkaa ,start 
oletteko ,are you 
isäni ,my father 
pysy ,stay 
minkä ,which 
tulossa ,pending 
tarkoittaa ,mean 
yli ,over 
viisi ,five 
sai ,got 
oikea ,right 
kuuluu ,belongs 
miehen ,male 
osaa ,can 
muista ,remember 
kanssasi ,with you 
tulkaa ,come on 
haluaisin ,I would like to 
senkin ,that too 
tein ,I did 
vanha ,old 
teemme ,we do 
voinko ,can i 
