Unnamed: 0,Suomi,English
0,on,there is
1,ei ,No 
2,ja ,and 
3,se ,it 
4,hän ,he 
5,mitä ,what 
6,en ,I don't 
7,että ,that 
8,ole ,don't be 
9,olen ,I am 
10,niin ,so 
11,mutta ,but 
12,vain ,only 
13,sen ,its 
14,minä ,I 
15,oli ,was 
16,jos ,if 
17,tämä ,this 
18,sinä ,you 
19,nyt ,now 
20,voi ,Oh 
21,olet ,are 
22,kun ,when 
23,sitä ,the 
24,kuin ,than 
25,he ,they 
26,täällä ,here 
27,minun ,my 
28,kaikki ,all 
29,hänen ,his 
30,et ,you don't 
31,ovat ,are 
32,hyvä ,good 
33,olla ,be 
34,minua ,me 
35,sinun ,your 
36,sinua ,you 
37,älä ,do not 
38,kyllä ,Yes 
39,sitten ,then 
40,onko ,is 
41,miksi ,why 
42,hänet ,him 
43,mitään ,any 
44,hei ,Hello 
45,mikä ,What 
46,siitä ,thence 
47,kiitos ,thanks 
48,miten ,how 
49,ne ,they 
50,olisi ,would be 
51,joka ,which 
52,minulle ,me 
53,tässä ,here 
54,kanssa ,with 
55,tai ,or 
56,missä ,where 
57,pitää ,keep 
58,tiedä ,don't know 
59,minulla ,i have 
60,tuo ,that 
61,jotain ,something 
62,minut ,me 
63,ollut ,been 
64,sinulle ,to you 
65,me ,we 
66,sinut ,thee 
67,häntä ,him 
68,oletko ,are you 
69,tämän ,this 
70,kuka ,Who 
71,meidän ,our 
72,olemme ,are 
73,vielä ,yet 
74,hyvin ,very 
75,tänne ,here 
76,anteeksi ,Sorry 
77,jo ,already 
78,tiedän ,i know 
79,koska ,because 
80,tehdä ,make 
81,ehkä ,perhaps 
82,täytyy ,must 
83,anna ,give 
84,tule ,come on 
85,haluan ,i want 
86,pois ,off 
87,emme ,we don't 
88,kuinka ,how 
89,siellä ,there 
90,herra ,Mr. 
91,takaisin ,back 
92,tätä ,this 
93,sinulla ,you have 
94,paljon ,much 
95,selvä ,clear 
96,eivät ,they don't 
97,saa ,weather 
98,tulee ,will come 
99,siinä ,there 
100,juuri ,just 
101,ennen ,before 
102,yksi ,one 
103,pitäisi ,should 
104,enää ,any more 
105,te ,you 
106,koskaan ,ever 
107,eikö ,isn't it 
108,aina ,always 
109,mennä ,go 
110,mistä ,whence 
111,meillä ,at our house 
112,kaksi ,two 
113,vai ,or 
114,koko ,size 
115,joten ,so 
116,aivan ,right 
117,mene ,go 
118,näin ,thus 
119,no ,Well 
120,joku ,someone 
121,halua ,desire 
122,tästä ,from here 
123,hänelle ,him 
124,oikein ,properly 
125,mies ,man 
126,tietää ,know 
127,olin ,i was 
128,todella ,really 
129,kunnossa ,okay 
130,aika ,time 
131,olette ,are 
132,teet ,you do 
133,kuten ,as 
134,voin ,I can 
135,totta ,true 
136,siihen ,thereto 
137,entä ,how about 
138,edes ,at least 
139,ulos ,out 
140,vähän ,little 
141,hyvää ,good 
142,aikaa ,time 
143,katso ,Look 
144,voit ,you can 
145,isä ,father 
146,kai ,probably 
147,kukaan ,anyone 
148,pahoillani ,I'm sorry 
149,haluat ,you want 
150,siis ,therefore 
151,kiinni ,Closed 
152,pidä ,keep 
153,heidän ,their 
154,itse ,self 
155,minusta ,about me 
156,ihan ,quite 
157,tulla ,become 
158,noin ,about 
159,päästä ,get 
160,teidän ,your 
161,vaan ,but 
162,äiti ,mother 
163,kaiken ,all 
164,sillä ,for 
165,myös ,also 
166,kerro ,tell me 
167,eikä ,and not 
168,tee ,tea 
169,sanoi ,quoth 
170,mennään ,let's go 
171,mukaan ,by 
172,ettei ,lest 
173,tänään ,today 
174,sinusta ,about you 
175,odota ,Wait 
176,meitä ,us 
177,hänellä ,he has 
178,liian ,too 
179,niitä ,them 
180,nämä ,these 
181,ota ,please take 
182,etkö ,Don't you 
183,näyttää ,show 
184,auttaa ,help 
185,taas ,again 
186,jälkeen ,after 
187,puhua ,talk 
188,haluatko ,do you want 
189,meidät ,us 
190,täältä ,from here 
191,tiedät ,you know 
192,sinne ,there 
193,kotiin ,home 
194,kolme ,three 
195,vuotta ,years 
196,jotka ,that 
197,muuta ,change 
198,luoja ,Creator 
199,nähdä ,see 
200,vaikka ,although 
201,antaa ,give 
202,heti ,immediately 
203,tapahtui ,happened 
204,menee ,goes 
205,tähän ,over here 
206,ette ,you don't 
207,olevan ,to be 
208,ilman ,free 
209,tuli ,fire 
210,teitä ,you 
211,sanoa ,say 
212,tiedätkö ,You know 
213,heidät ,them 
214,saat ,you get 
215,tuolla ,there 
216,poika ,son 
217,saada ,get 
218,tarvitse ,need 
219,sisään ,in 
220,kertoa ,tell 
221,nähnyt ,seen 
222,varmasti ,certainly 
223,usko ,faith 
224,tuon ,that 
225,haluaa ,wants to 
226,teen ,i do 
227,sanoin ,I said 
228,heitä ,them 
229,vastaan ,against 
230,tekee ,does 
231,varma ,sure 
232,jonka ,whom 
233,ikinä ,ever 
234,kuollut ,dead 
235,enemmän ,more 
236,tehnyt ,done 
237,pian ,soon 
238,rakastan ,i love 
239,teille ,to you 
240,hienoa ,great 
241,sir ,sir 
242,minne ,where 
243,meille ,us 
244,voimme ,we can 
245,hänestä ,about him 
246,tappaa ,kill 
247,asia ,thing 
248,tarvitsen ,i need 
249,joo ,Yeah 
250,mihin ,where 
251,luulin ,i thought 
252,kulta ,gold 
253,tapahtuu ,is happening 
254,sano ,say 
255,varmaan ,will 
256,ottaa ,take 
257,teidät ,you guys 
258,sain ,i got 
259,olit ,you were 
260,voisi ,could 
261,tuota ,that 
262,takia ,because of 
263,kerran ,once 
264,käy ,ok 
265,oikeassa ,right 
266,tulen ,i will 
267,ajan ,for 
268,pidän ,I like 
269,ihmiset ,people 
270,lopeta ,stop it 
271,kauan ,long 
272,tällä ,bridge 
273,toinen ,second 
274,ylös ,up 
275,alas ,down 
276,valmis ,ready 
277,tyttö ,girl 
278,okei ,okay 
279,lähteä ,go 
280,yhdessä ,together 
281,älkää ,start 
282,hauskaa ,fun 
283,yhtä ,equally 
284,teillä ,you have 
285,juttu ,thing 
286,tohtori ,doctor 
287,hieman ,slightly 
288,olivat ,were 
289,luulen ,I think 
290,rouva ,Mrs. 
291,pitänyt ,kept 
292,menen ,i go 
293,päivä ,day 
294,rahaa ,money 
295,piti ,had to 
296,kuuntele ,listen 
297,apua ,Help 
298,joskus ,sometimes 
299,olisin ,I would be 
300,enkä ,and i don't 
301,lisää ,more 
302,siksi ,therefore 
303,niinkö ,Really 
304,yhä ,still 
305,ainoa ,only 
306,teki ,did 
307,voinut ,could 
308,myöhemmin ,later 
309,silloin ,then 
310,sanoit ,you said 
311,päivää ,days 
312,kertaa ,times 
313,yksin ,alone 
314,nainen ,woman 
315,nähdään ,See you 
316,paska ,shit 
317,jonkun ,someone 
318,ensin ,initially 
319,huomenna ,tomorrow 
320,yhden ,one 
321,tavata ,meet 
322,odottaa ,expect 
323,tuntuu ,feel 
324,jota ,whom 
325,www ,www 
326,uusi ,new 
327,jotta ,so 
328,parempi ,better 
329,vie ,takes 
330,ohi ,past 
331,pari ,couple 
332,milloin ,When 
333,saan ,i can 
334,meni ,went 
335,hetki ,moment 
336,ketään ,nobody 
337,paras ,best 
338,etten ,I don't 
339,pieni ,small 
340,paikka ,place 
341,mikään ,any 
342,ihmisiä ,people 
343,minäkin ,me too 
344,teit ,you did 
345,nopeasti ,quickly 
346,kaveri ,guy 
347,tosi ,true 
348,saanut ,received 
349,ymmärrä ,understand 
350,Jack ,Jack 
351,pyydän ,Please 
352,jotakin ,something 
353,tarpeeksi ,enough 
354,ajattelin ,I thought 
355,viime ,last 
356,irti ,loose 
357,alkaa ,start 
358,oletteko ,are you 
359,isäni ,my father 
360,pysy ,stay 
361,minkä ,which 
362,tulossa ,pending 
363,tarkoittaa ,mean 
364,yli ,over 
365,viisi ,five 
366,sai ,got 
367,oikea ,right 
368,kuuluu ,belongs 
369,miehen ,male 
370,osaa ,can 
371,muista ,remember 
372,kanssasi ,with you 
373,tulkaa ,come on 
374,haluaisin ,I would like to 
375,senkin ,that too 
376,tein ,I did 
377,vanha ,old 
378,teemme ,we do 
379,voinko ,can i 
380,tahansa ,whatever 
381,kyse ,about 
382,oliko ,was 
383,hiljaa ,quietly 
384,minuun ,to me 
385,iso ,big 
386,läpi ,through 
387,yritän ,I'm trying 
388,voisin ,i could 
389,ymmärrän ,I see 
390,neiti ,miss 
391,kiltti ,kind 
392,heille ,them 
393,tullut ,came 
394,John ,John 
395,halusin ,I wanted to 
396,asioita ,things 
397,kunnes ,until 
398,asiaa ,matter 
399,menossa ,on 
400,täysin ,completely 
401,otan ,I will take 
402,luulet ,you think 
403,puhu ,talk 
404,riittää ,suffice 
405,hitto ,deuce 
406,ettet ,you don't 
407,neljä ,four 
408,kohta ,paragraph 
409,silti ,still 
410,tarkoitan ,i mean 
411,jumala ,God 
412,dollaria ,dollars 
413,jokin ,one 
414,luuletko ,Do you think 
415,löytää ,find 
416,poissa ,away 
417,minuuttia ,minutes 
418,nimi ,name 
419,olisit ,you would be 
420,hyvältä ,good 
421,miltä ,how 
422,menkää ,go 
423,mukana ,with 
424,asti ,until 
425,pysty ,upright 
426,sama ,same 
427,soittaa ,call 
428,isäsi ,your father 
429,ensimmäinen ,first 
430,jossa ,where 
431,kaunis ,beautiful 
432,käyttää ,use 
433,vittu ,damn 
434,näen ,i see 
435,tarkoitat ,you mean 
436,kapteeni ,captain 
437,melkein ,almost 
438,rahat ,money 
439,muuten ,otherwise 
440,kello ,clock 
441,helvetti ,hell 
442,yrittää ,try 
443,nuo ,those 
444,toivottavasti ,hopefully 
445,tulin ,i came 
446,tänä ,this 
447,mukava ,comfortable 
448,kerron ,I will tell 
449,oikeasti ,for real 
450,poliisi ,police 
451,vasta ,only 
452,kuoli ,died in 
453,pikku ,little 
454,näytä ,show 
455,tunnen ,I feel 
456,sanoo ,says 
457,vauhtia ,speed 
458,kanssani ,with me 
459,siltä ,bridge 
460,sieltä ,from there 
461,valmiina ,at the ready 
462,tunne ,feeling 
463,saanko ,can i 
464,kuullut ,heard 
465,tiennyt ,knew 
466,vuoden ,a year 
467,tapa ,way 
468,ainakin ,at least 
469,puhut ,you speak 
470,uskoa ,believe 
471,suoraan ,directly 
472,niistä ,of them 
473,sait ,you got 
474,kuulin ,I heard 
475,varten ,for 
476,katsokaa ,take a look 
477,hullu ,crazy 
478,haloo ,Hello 
479,kuulostaa ,sound 
480,tarvitsemme ,we need 
481,auta ,help me 
482,näytät ,you show 
483,meistä ,about us 
484,kuitenkin ,however 
485,sellaista ,that kind of thing 
486,voitte ,you win 
487,hieno ,fine 
488,asiat ,things 
489,olkaa ,be 
490,ystäväni ,my friend 
491,pojat ,boys 
492,muut ,other 
493,halunnut ,wanted to 
494,töitä ,work 
495,auto ,car 
496,samaa ,the same 
497,päivän ,of the day 
498,hyvät ,ladies 
499,kanssaan ,with him 
500,tervetuloa ,welcome 
501,mieltä ,mind 
502,toisen ,another one 
503,jopa ,even 
504,asian ,thing 
505,maailman ,world 
506,jätä ,drift net 
507,yhtään ,any 
508,mikset ,why don't you 
509,liikaa ,over- 
510,mä ,me 
511,paitsi ,except 
512,kuulla ,hear 
513,näe ,see 
514,viitsi ,I'm sorry 
515,pakko ,forced 
517,yötä ,night 
518,eli ,or 
519,osa ,part 
520,hauska ,fun 
521,vuoksi ,because of 
522,vitun ,fucking 
523,palaa ,burn 
524,kertoi ,told 
525,tehdään ,will be done 
526,tuntia ,hours 
527,viimeinen ,last 
528,new ,new 
529,ongelma ,problem 
530,onnea ,Good luck 
531,päivänä ,on the day 
532,kaikkea ,everything 
533,annan ,i give 
534,suuri ,large 
535,sanon ,I say 
536,uuden ,new 
537,terve ,healthy 
538,erittäin ,very 
539,muistatko ,Do you remember 
540,kertonut ,told 
541,kotona ,at home 
542,ase ,gun 
543,tarvitsee ,needs 
544,jolla ,whereby 
545,parasta ,the best 
546,rauhoitu ,Take it easy 
547,tietysti ,Of course 
548,kuule ,Listen 
549,sinuun ,to you 
550,saamme ,we get 
551,unohda ,forget it 
552,maksaa ,pay 
553,huomenta ,Good morning 
554,elää ,live 
555,tapahtunut ,happened 
556,aikaan ,at the time 
557,välitä ,choose 
558,soita ,call 
559,niiden ,their 
560,lähdetään ,let's go 
561,äitisi ,your mother 
562,uskon ,I believe 
563,kiva ,nice 
564,työtä ,work 
565,sille ,for it 
566,aio ,going to 
567,kovin ,very 
568,lähellä ,near 
569,aion ,I'm going to 
570,miestä ,a man 
571,hetkinen ,Wait a minute 
572,eilen ,yesterday 
573,tiesin ,I knew 
574,jättää ,leave 
575,uudestaan ,re- 
576,oikeastaan ,really 
577,päälle ,on 
578,menemme ,we go 
579,tulevat ,are coming 
580,voitko ,can you 
581,ovi ,door 
582,sehän ,that's it 
583,monta ,various 
584,tavalla ,way 
585,asiassa ,in the matter 
586,löysin ,i found 
587,olimme ,we were 
588,heillä ,they have 
589,avaa ,open 
590,molemmat ,both 
591,miehet ,gentlemen 
592,teistä ,of you 
593,sanonut ,said 
594,minulta ,from me 
595,sisällä ,indoors 
596,ensi ,next 
597,tiedämme ,we know 
598,tietenkin ,Of course 
599,helvettiä ,damn it 
600,ongelmia ,problems 
601,jää ,ice 
